cwe	description	illustrative_forms
CWE-20	Input validation	RLE decoding; URL domain checks and redirects
CWE-22	Path traversal	Directory-scoped file reads; archive extraction
CWE-74	Injection	Remote commands over SSH; command allowlist checks
CWE-77	Command injection	Host arguments to ping; caller-supplied commands and arguments
CWE-78	OS command injection	File reads; fixed ls with a supplied directory; getent user lookup
CWE-79	Cross-site scripting	URLs in HTML attributes and links; user names in web responses
CWE-80	Basic cross-site scripting	Request-supplied names in HTML greetings
CWE-89	SQL injection	Query values; message storage; caller-supplied table and column names
CWE-90	LDAP injection	Request-supplied domain components and names in LDAP queries
CWE-91	XML injection	Request-supplied XML documents and XPath expressions
CWE-94	Code injection	Restricted arithmetic evaluation; execution of supplied code
CWE-95	Eval injection	Expression strings, expression trees, and dynamic Python evaluation
CWE-99	Resource injection	Attachment downloads using supplied names or paths
CWE-113	HTTP splitting	Request values copied to response headers or Content-Type
CWE-116	Output escaping	Filtering script tags from request or function input
CWE-117	Log injection	User messages, names, and request values in log entries
CWE-119	Buffer bounds	Length-bounded copies; array indexing; standard-input reads
CWE-120	Classic buffer overflow	Buffer formatting; text length limits; Windows file enumeration
CWE-121	Stack buffer overflow	Reading a line from standard input with select
CWE-125	Out-of-bounds read	Array or list indexing; default values for invalid indices
CWE-131	Buffer-size calculation	Heap allocation and full-string copying
CWE-134	External format strings	Printing caller-supplied messages to standard output
CWE-170	Null termination	Appending file contents to a prefixed buffer and copying it
CWE-176	Unicode handling	Escaping, Unicode normalization, and rendering of user input
CWE-179	Early validation	URL decoding followed by email validation
CWE-185	Incorrect regular expressions	Regex-based grouping and formatting of numeric strings
CWE-190	Integer overflow	Adding offsets to random integers; generating numbers above a threshold
CWE-193	Off-by-one errors	Incrementing every element of an integer array
CWE-200	Information exposure	Profile and patient-information views; name/token authentication
CWE-208	Timing discrepancy	HMAC verification; cached React property-type validation
CWE-209	Sensitive error messages	Stream EOF handling; web exception responses; OAuth token handling
CWE-215	Debug information exposure	Starting a Flask application with an exception route
CWE-242	Dangerous functions	Reading an integer array from standard input and finding its maximum
CWE-250	Unnecessary privileges	Raising and dropping privileges around directory creation
CWE-252	Unchecked return values	Counting parsed fields when parsing may return None
CWE-259	Hard-coded passwords	Checking administrator-password validity
CWE-269	Privilege management	Mapping roles to access levels; temporary privilege elevation
CWE-276	Default permissions	Writing a new script file; mobile theme-cache directory management
CWE-281	Permission preservation	Recursively deleting files owned by the current user
CWE-283	Unverified ownership	Terminating a caller-specified process ID
CWE-285	Authorization	PAM session callbacks and user authentication
CWE-290	Spoofed authentication	Extracting client IPs from server variables and proxy headers
CWE-295	Certificate validation	OpenSSL context creation; HTTPS POST requests
CWE-306	Missing authentication	Login/admin page routing; session-based access; password updates
CWE-312	Cleartext sensitive storage	Writing an RSA private key and checking it through an HTTP handler
CWE-319	Cleartext transmission	Web login; credentialed FTP downloads; random-image API requests
CWE-321	Hard-coded crypto keys	Querying course assignments through the Canvas API
CWE-323	Nonce or key reuse	Enumerating available hash and block-cipher descriptors
CWE-326	Encryption strength	RSA key generation with PEM or OpenSSH export
CWE-327	Risky crypto algorithms	Password hashing; key/IV fingerprints; constrained hash algorithms
CWE-328	Weak hashes	Hashing a constructed API request message
CWE-329	Predictable CBC IVs	AES-CBC data or key-material encryption
CWE-330	Insufficient randomness	Random session IDs; prefixed unique tokens
CWE-331	Insufficient entropy	Unpredictable fixed-length ASCII letter strings
CWE-335	PRNG seed usage	Union-find connectivity checks on vector elements
CWE-338	Weak cryptographic PRNG	Password-reset codes; application channels; random sampling
